title,price_gbp,price_usd
A Light in the Attic,51.77,69.49
Tipping the Velvet,53.74,72.14
Soumission,50.1,67.25
Sharp Objects,47.82,64.19
Sapiens: A Brief History of Humankind,54.23,72.8
The Requiem Red,22.65,30.4
The Dirty Little Secrets of Getting Your Dream Job,33.34,44.75
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,24.07
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,30.34
The Black Maria,52.15,70.0
